,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
31,"Ledell Eackles, G",CAMP,28,28.4,151,5.4,118,4.2,7.6,1.28,32
32,"Jordan Farmar, G",UCLA,31,30.1,164,5.3,115,3.7,7.0,1.43,33
33,"Lanny Smith, G",HOU,28,33.3,148,5.3,81,2.9,6.3,1.83,34
34,"Derrick Harris, G",YSU,28,36.5,147,5.3,62,2.2,5.8,2.37,35
35,"Daniel Horton, G",MICH,28,34.0,146,5.2,105,3.8,6.1,1.39,36
36,"Daniel Ruffin, G",BRAD,30,30.2,156,5.2,80,2.7,6.9,1.95,37
37,"Drew Hall, G",COFC,28,33.1,145,5.2,70,2.5,6.3,2.07,38
38,"Dereke Tipler, G",ARST,29,32.6,150,5.2,89,3.1,6.3,1.69,39
39,"Ryan Evanochko, G",GB,31,36.5,160,5.2,84,2.7,5.7,1.90,40
40,"Brian Snider, G",WMU,31,33.3,159,5.1,98,3.2,6.2,1.62,41
41,"Greg Paulus, G",DUKE,33,32.0,169,5.1,104,3.2,6.4,1.63,42
42,"Ben Woodside, G",NDSU,28,34.4,143,5.1,86,3.1,5.9,1.66,43
43,"John Goldsberry, G",UNCW,32,33.9,163,5.1,73,2.3,6.0,2.23,44
44,"Marcus Clark, G",SFA,27,33.7,137,5.1,62,2.3,6.0,2.21,45
45,"Armondo Surratt, G",SF,28,35.1,142,5.1,104,3.7,5.8,1.37,46
46,"Tyronn Mitchell, G",NWST,32,26.5,162,5.1,85,2.7,7.6,1.91,47
47,"Ramon Sessions, G",NEV,30,26.1,149,5.0,67,2.2,7.6,2.22,48
48,"Steve Barnes, G",SUU,30,31.4,149,5.0,74,2.5,6.3,2.01,49
49,"Tim Crossin, G",TOWS,28,34.1,139,5.0,73,2.6,5.8,1.90,50
50,"Rajon Rondo, G",UK,32,30.9,158,4.9,76,2.4,6.4,2.08,51
51,"Reiley Ervin, G",TNST,28,33.5,138,4.9,86,3.1,5.9,1.60,52
52,"Brent Crews, G",FAU,27,30.4,133,4.9,80,3.0,6.5,1.66,53
53,"Daevon Haskins, G",LT,32,28.6,157,4.9,78,2.4,6.9,2.01,54
54,"Dru Joyce, G",AKR,31,32.9,152,4.9,79,2.5,6.0,1.92,55
55,"Drew Williamson, G",ODU,30,28.7,147,4.9,47,1.6,6.8,3.13,56
56,"Brody Angley, G",SCU,29,34.0,142,4.9,73,2.5,5.8,1.95,57
57,"Jesse Brooks, G",UMES,29,36.3,142,4.9,92,3.2,5.4,1.54,58
58,"Chris Lowe, G",UMASS,28,31.0,137,4.9,90,3.2,6.3,1.52,59
59,"Eugene Lawrence, G",SJU,27,32.3,132,4.9,99,3.7,6.1,1.33,60
60,"Taurean Green, G",FLA,33,33.0,161,4.9,112,3.4,5.9,1.44,61
61,"Louis Ford, G",HOW,27,32.2,130,4.8,79,2.9,6.0,1.65,62
62,"Quinton Day, G",UMKC,27,38.4,130,4.8,108,4.0,5.0,1.20,63
63,"Bryant McAllister, G",DUQ,26,33.6,125,4.8,96,3.7,5.7,1.30,64
64,"Matt Kline, G",UNCO,29,26.2,139,4.8,84,2.9,7.3,1.65,65
65,"Dwayne Foreman, G",GASO,29,26.4,139,4.8,89,3.1,7.2,1.56,66
66,"Torey Thomas, G",HC,32,36.4,153,4.8,86,2.7,5.2,1.78,67
67,"Adam Boone, G",MINN,29,35.4,137,4.7,68,2.3,5.3,2.01,68
68,"Derek Coleman, G",RMU,29,36.3,137,4.7,78,2.7,5.2,1.76,69
69,"Carl Krauser, G",PITT,31,31.8,146,4.7,95,3.1,5.9,1.54,70
70,"Jamar Butler, G",OSU,29,33.0,136,4.7,50,1.7,5.7,2.72,71
71,"Andre Collins, G",L-MD,28,38.1,131,4.7,104,3.7,4.9,1.26,72
72,"Dashaun Wood, G",WRST,28,35.3,131,4.7,97,3.5,5.3,1.35,73
73,"Al Stewart, G",DRKE,31,28.7,144,4.6,96,3.1,6.5,1.50,74
74,"Quantez Robertson, G",AUB,28,35.4,130,4.6,78,2.8,5.2,1.67,75
75,"Carlos English, G",CLEV,28,28.4,130,4.6,84,3.0,6.5,1.55,76
76,"Larry Sheppard, G",TRGV,31,33.4,143,4.6,105,3.4,5.5,1.36,77
77,"Garrett Farha, G",SFU,28,31.9,129,4.6,61,2.2,5.8,2.11,78
78,"DeEarnest McLemore, G",WAG,25,33.4,115,4.6,56,2.2,5.5,2.05,79
79,"Darrel Mitchell, G",LSU,31,36.4,142,4.6,87,2.8,5.0,1.63,80
80,"David Pak, G",USU,31,27.7,142,4.6,76,2.5,6.6,1.87,81
81,"Louis Hinnant, G",BC,33,31.8,151,4.6,68,2.1,5.8,2.22,82
82,"Maurice Acker, G",BALL,28,31.7,128,4.6,82,2.9,5.8,1.56,83
83,"Chris Ross, G",MRSH,28,29.9,128,4.6,96,3.4,6.1,1.33,84
84,"Marvin McCullough, G",IONA,30,28.5,137,4.6,71,2.4,6.4,1.93,85
85,"Bobby Brown, G",CSF,29,34.9,132,4.6,96,3.3,5.2,1.38,86
86,"Cory Sims, G",NIU,28,27.0,127,4.5,81,2.9,6.7,1.57,87
87,"Cory Lewis, G",CSU,30,29.9,136,4.5,102,3.4,6.1,1.33,88
88,"Russell Robinson, G",KU,32,28.2,145,4.5,68,2.1,6.4,2.13,89
89,"Mike Gordon, G",BING,29,35.7,131,4.5,64,2.2,5.1,2.05,90
90,"Bobby Frasor, G",UNC,29,27.4,131,4.5,72,2.5,6.6,1.82,91
91,"Mustafa Shakur, G",ARIZ,31,30.2,140,4.5,83,2.7,6.0,1.69,92
92,"Dontell Jefferson, G",ARK,31,23.0,140,4.5,70,2.3,7.8,2.00,93
93,"Joe Herber, G",WVU,30,31.3,135,4.5,47,1.6,5.8,2.87,94
94,"Chris Gaynor, G",WIN,30,28.7,135,4.5,45,1.5,6.3,3.00,95
95,"Tim Smith, G",ETSU,28,37.7,126,4.5,137,4.9,4.8,0.92,96
96,"Donald Copeland, G",HALL,29,35.5,130,4.5,69,2.4,5.1,1.88,97
97,"Jason Horton, G",MIZ,27,30.9,121,4.5,73,2.7,5.8,1.66,98
98,"Jeremy Kelly, G",UTM,28,33.8,125,4.5,100,3.6,5.3,1.25,99
99,"Ben Luber, G",PSU,28,30.6,125,4.5,60,2.1,5.8,2.08,100
100,"Darrin Shine, G",DSU,33,33.1,147,4.5,87,2.6,5.4,1.69,101
101,"Ricky Soliver, G",IONA,30,34.8,133,4.4,80,2.7,5.1,1.66,102
102,"Brian Collins, G",BEL,30,26.4,133,4.4,91,3.0,6.7,1.46,103
103,"Jamon Gordon, G",VT,30,34.9,133,4.4,66,2.2,5.1,2.02,104
104,"Giordan Watson, G",CMU,28,37.8,124,4.4,115,4.1,4.7,1.08,105
105,"Obie Trotter, G",AAMU,26,34.0,115,4.4,89,3.4,5.2,1.29,106
106,"Chris Capko, G",USF,29,31.7,128,4.4,103,3.6,5.6,1.24,107
107,"Paul Paradoski, G",SEMO,27,34.5,119,4.4,67,2.5,5.1,1.78,108
108,"Aaron Brooks, G",ORE,32,32.4,141,4.4,78,2.4,5.4,1.81,109
109,"Mitchell Baldwin, G",CHAR,30,32.3,132,4.4,51,1.7,5.4,2.59,110
110,"Matt Witt, G",EKY,30,33.7,132,4.4,99,3.3,5.2,1.33,111
111,"D.J. Thompson, G",APP,30,34.6,132,4.4,89,3.0,5.1,1.48,112
112,"Dwayne Lee, G",JOES,31,37.1,136,4.4,83,2.7,4.7,1.64,113
113,"Keydren (Keekee) Clark, G",SPU,32,38.8,140,4.4,102,3.2,4.5,1.37,114
114,"Jeremy Wiley, G",PV,28,31.1,122,4.4,124,4.4,5.6,0.98,115
115,"Warren Williams, G",DAY,31,26.1,135,4.4,85,2.7,6.7,1.59,116
116,"Tre' Kelley, G",SC,33,34.7,143,4.3,89,2.7,5.0,1.61,117
117,"Brandon Worthy, G",LMU,30,33.3,130,4.3,82,2.7,5.2,1.59,118
118,"Matt Coward, G",VMI,3,26.3,13,4.3,18,6.0,6.6,0.72,119
119,"Kashif Payne, G",TOL,31,31.5,134,4.3,85,2.7,5.5,1.58,120
0,"Jared Jordan, G",MRST,31,37.8,274,8.8,101,3.3,9.3,2.71,1
1,"Jason Richards, G",DAV,33,34.2,242,7.3,101,3.1,8.6,2.40,2
2,"Mustafa Shakur, G",ARIZ,30,34.7,207,6.9,106,3.5,7.9,1.95,3
3,"D.J. Augustin, G",TEX,33,35.4,221,6.7,107,3.2,7.6,2.07,4
4,"Mike Conley, G",OSU,33,30.7,209,6.3,71,2.2,8.3,2.94,5
5,"Eric Maynor, G",VCU,33,34.3,208,6.3,69,2.1,7.3,3.01,6
6,"Keenan Jones, G",NWST,32,28.3,200,6.3,105,3.3,8.8,1.90,7
7,"Dwayne Foreman, G",GASO,29,32.9,176,6.1,97,3.3,7.4,1.81,8
8,"Josh Wilson, G",NAU,30,32.0,181,6.0,93,3.1,7.5,1.95,9
9,"Ish Smith, G",WAKE,31,29.9,186,6.0,112,3.6,8.0,1.66,10
10,"Darren Collison, G",UCLA,30,32.7,179,6.0,88,2.9,7.3,2.03,11
11,"Trant Simpson, G",AAMU,28,34.0,167,6.0,140,5.0,7.0,1.19,12
12,"Temi Soyebo, G",UNCW,29,30.7,170,5.9,98,3.4,7.6,1.73,13
13,"Golden Ingle, G",KENN,31,35.0,180,5.8,106,3.4,6.6,1.70,14
14,"Kevin Kanaskie, G",MTSU,32,37.0,185,5.8,96,3.0,6.3,1.93,15
15,"Charles Richardson Jr., G",NEB,31,36.3,179,5.8,71,2.3,6.4,2.52,16
16,"Brooks McKowen, G",UNI,31,34.7,179,5.8,97,3.1,6.6,1.85,17
17,"Javaris Crittenton, G",GT,31,31.4,178,5.7,120,3.9,7.3,1.48,18
18,"Steve Barnes, G",SUU,30,36.2,172,5.7,112,3.7,6.3,1.54,19
19,"Todd Abernethy, G",MISS,31,33.3,174,5.6,54,1.7,6.7,3.22,20
20,"Eugene Lawrence, G",SJU,31,33.2,173,5.6,123,4.0,6.7,1.41,21
21,"Jejuan Plair, G",SHSU,31,28.5,172,5.5,74,2.4,7.8,2.32,22
22,"Darrell Jenkins, G",ECU,30,33.8,166,5.5,102,3.4,6.5,1.63,23
23,"Ty Lawson, G",UNC,34,24.9,188,5.5,74,2.2,8.9,2.54,24
24,"Rodney Stuckey, G",EWU,29,33.3,160,5.5,98,3.4,6.6,1.63,25
25,"Tyrese Rice, G",BC,31,36.4,171,5.5,104,3.4,6.1,1.64,26
26,"Travis Walton, G",MSU,33,32.6,181,5.5,82,2.5,6.7,2.21,27
27,"Kevin Bell, G",FRES,31,33.7,169,5.5,78,2.5,6.5,2.17,28
28,"Drew Gibson, G",WOF,25,33.3,136,5.4,75,3.0,6.5,1.81,29
29,"Al Stewart, G",DRKE,32,29.3,174,5.4,89,2.8,7.4,1.96,30
30,"Derek Coleman, G",RMU,28,38.0,152,5.4,93,3.3,5.7,1.63,31
31,"Daniel Ruffin, G",BRAD,30,33.3,162,5.4,69,2.3,6.5,2.35,32
32,"Frank Turner, G",CAN,31,36.1,167,5.4,118,3.8,6.0,1.42,33
33,"Dontaye Draper, G",COFC,33,35.9,176,5.3,111,3.4,5.9,1.59,34
34,"Paul Stoll, G",TRGV,29,28.8,154,5.3,95,3.3,7.4,1.62,35
35,"Daon Merritt, G",USA,30,29.8,159,5.3,83,2.8,7.1,1.92,36
36,"Ibrahim Jaaber, G",PENN,30,36.8,159,5.3,88,2.9,5.8,1.81,37
37,"Jay Greene, G",UMBC,30,32.5,159,5.3,67,2.2,6.5,2.37,38
38,"Acie Law IV, G",TAMU,31,33.6,164,5.3,81,2.6,6.3,2.02,39
39,"Geoff McDermott, G-F",PROV,30,35.3,158,5.3,107,3.6,6.0,1.48,40
40,"Ryan Evanochko, G",GB,33,36.6,173,5.2,81,2.5,5.7,2.14,41
41,"Mark Porter, G",WAG,30,34.3,156,5.2,123,4.1,6.1,1.27,42
42,"DeAndre Bray, G",JVST,30,23.6,156,5.2,81,2.7,8.8,1.93,43
43,"Paul Delaney III, G",UAB,31,37.1,160,5.2,110,3.5,5.6,1.45,44
44,"Ben Woodside, G",NDSU,28,34.1,144,5.1,93,3.3,6.0,1.55,45
45,"Tre' Kelley, G",SC,29,36.7,149,5.1,83,2.9,5.6,1.80,46
46,"Bobby Brown, G",CSF,27,34.6,138,5.1,96,3.6,5.9,1.44,47
47,"Cameron Tyler, G",FDU,30,32.5,153,5.1,119,4.0,6.3,1.29,48
48,"Quantez Robertson, G",AUB,32,33.8,163,5.1,72,2.3,6.0,2.26,49
49,"Tim Doyle, G",NW,31,35.1,157,5.1,93,3.0,5.8,1.69,50
50,"Jason Holsinger, G",EVAN,31,33.0,157,5.1,61,2.0,6.1,2.57,51
51,"Mike Jefferson, G",HP,32,31.2,162,5.1,95,3.0,6.5,1.71,52
52,"Lorenzo Williams, G",RICE,29,28.6,146,5.0,77,2.7,7.0,1.90,53
53,"Dominic James, G",MARQ,33,33.2,165,5.0,86,2.6,6.0,1.92,54
54,"D.J. Thompson, G",APP,32,32.6,160,5.0,94,2.9,6.1,1.70,55
55,"Jeremy Goode, G",MSM,31,34.2,155,5.0,95,3.1,5.8,1.63,56
56,"Kevin Kruger, G",UNLV,28,30.5,140,5.0,58,2.1,6.5,2.41,57
57,"Donnell Covington, G",CHSO,30,34.3,149,5.0,92,3.1,5.8,1.62,58
58,"Gary Ervin, G",ARK,34,31.9,168,4.9,98,2.9,6.2,1.71,59
59,"Julian Mascoll, F",EKY,32,34.3,158,4.9,129,4.0,5.8,1.22,60
60,"Ronald Moore, G",SIE,32,31.2,158,4.9,70,2.2,6.3,2.26,61
61,"Carl Elliott, G",GW,31,34.7,153,4.9,107,3.5,5.7,1.43,62
62,"Jamont Gordon, G-F",MSST,31,32.5,153,4.9,110,3.5,6.1,1.39,63
63,"Boo Richardson, G",ILST,31,33.4,153,4.9,105,3.4,5.9,1.46,64
64,"Alex Ruoff, G",WVU,31,32.8,152,4.9,63,2.0,6.0,2.41,65
65,"Jamar Wilson, G",ALBY,32,36.3,156,4.9,118,3.7,5.4,1.32,66
66,"Jon Killen, G",SMU,31,33.8,151,4.9,116,3.7,5.8,1.30,67
67,"Mike Trimboli, G",UVM,32,35.3,155,4.8,108,3.4,5.5,1.44,68
68,"Terry Bryant, G",SELA,30,33.4,144,4.8,75,2.5,5.7,1.92,69
69,"Torey Thomas, G",HC,33,37.5,157,4.8,128,3.9,5.1,1.23,70
70,"Brandon Johnson, G",USD,32,30.9,152,4.8,108,3.4,6.2,1.41,71
71,"Danny Pariseau, G",SCU,31,30.8,147,4.7,70,2.3,6.2,2.10,72
72,"Sundiata Gaines, G",UGA,30,30.5,142,4.7,77,2.6,6.2,1.84,73
73,"Derrick Mercer, G",AMER,30,32.9,142,4.7,77,2.6,5.8,1.84,74
74,"Drew Lavender, G",XAV,32,30.6,151,4.7,53,1.7,6.2,2.85,75
75,"Ramon Sessions, G",NEV,32,29.8,151,4.7,79,2.5,6.3,1.91,76
76,"Royce Parran, G",CHS,29,34.1,136,4.7,89,3.1,5.5,1.53,77
77,"Brent Crews, G",FAU,30,31.2,140,4.7,89,3.0,6.0,1.57,78
78,"Greivis Vasquez, G",MD,32,28.5,149,4.7,87,2.7,6.5,1.71,79
79,"Chris Gaynor, G",WIN,29,28.1,135,4.7,41,1.4,6.6,3.29,80
80,"Richie Williams, G",SDSU,31,34.0,144,4.6,95,3.1,5.5,1.52,81
81,"Ledell Eackles, G",CAMP,31,29.2,143,4.6,82,2.6,6.3,1.74,82
82,"Darrin Shine, G",DSU,33,32.7,152,4.6,72,2.2,5.6,2.11,83
83,"Jeremy Pargo, G",GONZ,33,33.5,152,4.6,108,3.3,5.5,1.41,84
84,"Justin Payne, G",NICH,30,31.0,138,4.6,88,2.9,5.9,1.57,85
85,"Sean Singletary, G",UVA,30,33.1,137,4.6,93,3.1,5.5,1.47,86
86,"Stefhon Hannah, G",MIZ,30,30.4,137,4.6,98,3.3,6.0,1.40,87
87,"Jamon Gordon, G",VT,32,31.4,146,4.6,73,2.3,5.8,2.00,88
88,"Roy Peake, G",WSSU,29,31.2,132,4.6,66,2.3,5.8,2.00,89
89,"Dane Bradshaw, G",TENN,32,27.7,145,4.5,56,1.8,6.5,2.59,90
90,"Kyle Weaver, G",WSU,32,33.5,145,4.5,83,2.6,5.4,1.75,91
91,"Jonathan Han, G",FAIR,32,34.0,145,4.5,95,3.0,5.3,1.53,92
92,"Mike Taylor, G",ISU,31,32.9,140,4.5,168,5.4,5.5,0.83,93
93,"Cory Lewis, G",CSU,30,32.0,135,4.5,89,3.0,5.6,1.52,94
94,"Brad Jones, G",WYO,30,37.1,135,4.5,130,4.3,4.9,1.04,95
95,"Sharaud Curry, G",PROV,26,36.4,117,4.5,92,3.5,4.9,1.27,96
96,"Darris Nichols, G",WVU,31,34.6,139,4.5,35,1.1,5.2,3.97,97
97,"Levance Fields, G",PITT,34,29.2,152,4.5,59,1.7,6.1,2.58,98
98,"Drew Williamson, G",ODU,32,31.1,143,4.5,53,1.7,5.7,2.70,99
99,"Matthew Lojeski, G",HAW,32,35.1,143,4.5,92,2.9,5.1,1.55,100
100,"Jerrell Green, G",MORG,28,27.2,125,4.5,88,3.1,6.6,1.42,101
101,"Austin Ainge, G",BYU,33,25.7,147,4.5,77,2.3,6.9,1.91,102
102,"Sonny Troutman, G",OHIO,32,31.5,142,4.4,116,3.6,5.6,1.22,103
103,"Chester Frazier, G",ILL,32,31.3,142,4.4,79,2.5,5.7,1.80,104
104,"Michael Redell, G",WMU,32,28.7,142,4.4,95,3.0,6.2,1.49,105
105,"Russell Robinson, G",KU,33,28.2,146,4.4,61,1.8,6.3,2.39,106
106,"Reggie Williams, F",VMI,33,32.4,146,4.4,98,3.0,5.5,1.49,107
107,"Malik Alvin, G",UTEP,31,24.4,137,4.4,98,3.2,7.2,1.40,108
108,"Tony Lee, G",RMU,28,33.8,123,4.4,96,3.4,5.2,1.28,109
109,"Kevin Houston, G",LBSU,31,32.0,136,4.4,87,2.8,5.5,1.56,110
110,"Eric Webb, G",FUR,31,31.0,136,4.4,90,2.9,5.7,1.51,111
111,"Tory Jackson, G",ND,31,27.6,136,4.4,73,2.4,6.4,1.86,112
112,"Jesse Kimbrough, G",JAC,29,33.3,127,4.4,72,2.5,5.3,1.76,113
113,"Spencer Laurie, G",MOST,32,28.7,140,4.4,69,2.2,6.1,2.03,114
114,"Aaron Brooks, G",ORE,31,36.8,135,4.4,80,2.6,4.7,1.69,115
115,"Dru Joyce, G",AKR,33,32.0,143,4.3,72,2.2,5.4,1.99,116
116,"Earl Calloway, G",IND,27,27.3,117,4.3,60,2.2,6.4,1.95,117
117,"Garrett Temple, G",LSU,32,34.3,138,4.3,83,2.6,5.0,1.66,118
118,"Ayinde Ubaka, G",CAL,34,34.1,146,4.3,73,2.1,5.0,2.00,119
119,"Marquis Hall, G",LEH,31,32.4,133,4.3,78,2.5,5.3,1.71,120
0,"Jason Richards, G",DAV,32,34.7,257,8.0,96,3.0,9.3,2.68,1
1,"Jay Greene, G",UMBC,32,37.1,234,7.3,65,2.0,7.9,3.60,2
2,"TeeJay Bannister, G",LIB,31,29.6,224,7.2,116,3.7,9.8,1.93,3
3,"Paul Stoll, G",TRGV,31,33.1,224,7.2,109,3.5,8.7,2.06,4
4,"Mike Jefferson, G",HP,31,35.0,216,7.0,112,3.6,8.0,1.93,5
5,"Greivis Vasquez, G",MD,32,36.9,220,6.9,144,4.5,7.5,1.53,6
6,"Nikola Stojakovic, G",MORE,30,33.8,204,6.8,100,3.3,8.0,2.04,7
7,"Kris Clark, G",USU,34,29.2,219,6.4,92,2.7,8.8,2.38,8
8,"DeAndre Bray, G",JVST,29,28.0,185,6.4,62,2.1,9.1,2.98,9
9,"Josh Jenkins, G",CSN,30,24.8,191,6.4,118,3.9,10.3,1.62,10
10,"Tony Lee, G",RMU,33,29.0,210,6.4,139,4.2,8.8,1.51,11
11,"Adam Emmenecker, G",DRKE,32,32.8,199,6.2,99,3.1,7.6,2.01,12
12,"Jonathan Han, G",FAIR,30,38.3,186,6.2,103,3.4,6.5,1.81,13
13,"Brandon Brooks, G",ALST,30,30.1,185,6.2,71,2.4,8.2,2.61,14
14,"Tory Jackson, G",ND,31,32.8,189,6.1,101,3.3,7.4,1.87,15
15,"Chris Lowe, G",UMASS,29,32.7,176,6.1,86,3.0,7.4,2.05,16
16,"Sean Singletary, G",UVA,30,34.1,181,6.0,120,4.0,7.1,1.51,17
17,"Darrell Jenkins, G",ECU,30,28.0,181,6.0,86,2.9,8.6,2.10,18
18,"Dwayne Foreman, G",GASO,32,32.2,193,6.0,84,2.6,7.5,2.30,19
19,"Jeremy Pargo, G",GONZ,32,33.8,193,6.0,105,3.3,7.1,1.84,20
20,"Nick Calathes, G",FLA,32,32.8,193,6.0,93,2.9,7.3,2.08,21
21,"Johnathon Jones, G",OAK,31,36.1,186,6.0,103,3.3,6.6,1.81,22
22,"Drew Gibson, G",WOF,30,33.3,180,6.0,83,2.8,7.2,2.17,23
23,"A.J. Price, G",CONN,32,32.8,191,6.0,78,2.4,7.3,2.45,24
24,"K.J. Garland, G",UNCA,31,38.0,184,5.9,81,2.6,6.2,2.27,25
25,"Jamar Butler, G",OSU,32,36.5,189,5.9,84,2.6,6.5,2.25,26
26,"Kevin Bell, G",FRES,32,37.5,187,5.8,106,3.3,6.2,1.76,27
27,"Daniel Ruffin, G",BRAD,23,33.4,133,5.8,79,3.4,6.9,1.68,28
28,"Eric Bell, G",SFA,31,31.5,177,5.7,74,2.4,7.2,2.39,29
29,"Demetrius Johnson, G",IPFW,25,28.8,142,5.7,95,3.8,7.9,1.49,30
30,"D.J. Augustin, G",TEX,34,37.2,193,5.7,95,2.8,6.1,2.03,31
31,"Tasheed Carr, G",JOES,29,33.3,163,5.6,81,2.8,6.8,2.01,32
32,"Rob Quaintance, G",FGCU,31,35.3,174,5.6,126,4.1,6.4,1.38,33
33,"Daon Merritt, G",USA,32,32.5,179,5.6,92,2.9,6.9,1.95,34
34,"Mark Porter, G",WAG,31,37.4,172,5.5,126,4.1,5.9,1.37,35
35,"Jeremy Goode, G",MSM,31,33.2,172,5.5,106,3.4,6.7,1.62,36
36,"Amir Johnson, G",RAD,28,35.8,155,5.5,118,4.2,6.2,1.31,37
37,"Drew Shubik, G",SHU,32,33.4,176,5.5,121,3.8,6.6,1.45,38
38,"Josh Wilson, G",NAU,32,31.0,173,5.4,106,3.3,7.0,1.63,39
39,"Levance Fields, G",PITT,23,30.7,124,5.4,39,1.7,7.0,3.18,40
40,"Devan Downey, G",SC,32,37.4,172,5.4,87,2.7,5.7,1.98,41
41,"Ryne Hamblet, G",BGSU,8,31.5,43,5.4,23,2.9,6.8,1.87,42
42,"Eric Maynor, G",VCU,31,34.8,166,5.4,92,3.0,6.2,1.80,43
43,"Ty Lawson, G",UNC,27,25.3,143,5.3,62,2.3,8.4,2.31,44
44,"Brody Angley, G",SCU,31,35.2,164,5.3,102,3.3,6.0,1.61,45
45,"Ronald Moore, G",SIE,32,31.9,169,5.3,64,2.0,6.6,2.64,46
46,"Stefhon Hannah, G",MIZ,20,28.1,105,5.3,58,2.9,7.5,1.81,47
47,"Jonny Flynn, G",SYR,32,36.1,167,5.2,88,2.8,5.8,1.90,48
48,"Brian Johnson, G",DEL,31,37.5,161,5.2,75,2.4,5.5,2.15,49
49,"Tristan Blackwood, G",CCSU,30,35.9,155,5.2,107,3.6,5.8,1.45,50
50,"Ben Woodside, G",NDSU,29,36.6,149,5.1,90,3.1,5.6,1.66,51
51,"Anthony Nelson, G",NIAG,29,35.7,149,5.1,79,2.7,5.8,1.89,52
52,"Jon Killen, G",SMU,30,35.3,154,5.1,96,3.2,5.8,1.60,53
53,"Mike Green, G",BUT,32,33.8,164,5.1,90,2.8,6.1,1.82,54
54,"Jaytornah Wisseh, G",LIU,30,35.9,153,5.1,97,3.2,5.7,1.58,55
55,"David Holston, G",CHS,28,33.3,142,5.1,109,3.9,6.1,1.30,56
56,"Vinnie McGhee, G",SAC,28,33.7,142,5.1,96,3.4,6.0,1.48,57
57,"Devin Gibson, G",UTSA,28,33.5,142,5.1,112,4.0,6.1,1.27,58
58,"Louis Dale, G",COR,27,28.6,136,5.0,83,3.1,7.0,1.64,59
59,"Marvin Kilgore, G",UTEP,32,31.8,161,5.0,78,2.4,6.3,2.06,60
60,"Bruce Price, G",TNST,32,34.0,160,5.0,128,4.0,5.9,1.25,61
61,"Paul Delaney III, G",UAB,4,27.0,20,5.0,12,3.0,7.4,1.67,62
62,"Bryan Mullins, G",SIU,31,34.8,154,5.0,75,2.4,5.7,2.05,63
63,"Tyrese Rice, G",BC,30,38.1,149,5.0,103,3.4,5.2,1.45,64
64,"Cedric Jackson, G",CLEV,33,31.0,163,4.9,131,4.0,6.4,1.24,65
65,"Curtis Terry, G-F",UNLV,32,31.8,158,4.9,77,2.4,6.2,2.05,66
66,"Eugene Harvey, G",HALL,32,36.8,156,4.9,118,3.7,5.3,1.32,67
67,"Geoff McDermott, G-F",PROV,31,35.1,151,4.9,111,3.6,5.6,1.36,68
68,"Steffan Johnson, G",PAC,31,31.3,151,4.9,107,3.5,6.2,1.41,69
69,"Manny Ubilla, G",FDU,28,38.4,136,4.9,105,3.8,5.1,1.30,70
70,"Matt Gibson, G",HAW,25,34.3,121,4.8,101,4.0,5.6,1.20,71
71,"Chris Howard, G",USF,31,32.1,150,4.8,83,2.7,6.0,1.81,72
72,"Mitch Johnson, G",STAN,33,31.4,159,4.8,70,2.1,6.1,2.27,73
73,"Parfait Bitee, G",URI,32,29.4,154,4.8,78,2.4,6.5,1.97,74
74,"Jamont Gordon, G-F",MSST,32,34.4,154,4.8,129,4.0,5.6,1.19,75
75,"Derek Wright, G",PEAY,34,32.6,162,4.8,73,2.1,5.9,2.22,76
76,"C.C. Williams, G",TOWS,31,31.0,147,4.7,66,2.1,6.1,2.23,77
77,"Jordan Brooks, F",IDHO,28,29.6,132,4.7,121,4.3,6.4,1.09,78
78,"Chase Adams, G",CENT,31,33.7,146,4.7,85,2.7,5.6,1.72,79
79,"Ish Smith, G",WAKE,30,32.1,141,4.7,84,2.8,5.9,1.68,80
80,"Jermaine Beal, G",VAN,33,27.8,153,4.6,50,1.5,6.7,3.06,81
81,"Ben Smith, G",JAC,31,36.3,143,4.6,91,2.9,5.1,1.57,82
82,"Frank Turner, G",CAN,31,33.7,143,4.6,118,3.8,5.5,1.21,83
83,"Manny Quezada, G",SF,31,32.3,142,4.6,120,3.9,5.7,1.18,84
84,"Mario Chalmers, G",KU,33,29.5,151,4.6,65,2.0,6.2,2.32,85
85,"Taylor Rochestie, G",WSU,32,34.7,146,4.6,54,1.7,5.3,2.70,86
86,"Jason Holsinger, G",EVAN,27,35.5,123,4.6,77,2.9,5.1,1.60,87
87,"Gabriel Moore, G",INST,31,33.6,141,4.5,88,2.8,5.4,1.60,88
88,"Kevin Thomas, G",MURR,30,27.5,136,4.5,69,2.3,6.6,1.97,89
89,"Derrick Rose, G",MEM,34,28.1,153,4.5,96,2.8,6.4,1.59,90
90,"Terrence Williams, F",LOU,32,36.0,144,4.5,97,3.0,5.0,1.48,91
91,"Kenny Dawkins, G",LAM,30,34.9,135,4.5,80,2.7,5.2,1.69,92
92,"Lester Hudson, G",UTM,33,36.9,148,4.5,126,3.8,4.9,1.17,93
93,"Mike Trimboli, G",UVM,31,36.5,139,4.5,114,3.7,4.9,1.22,94
94,"Brandon Johnson, G",ODU,32,27.4,143,4.5,91,2.8,6.5,1.57,95
95,"Michael Allen, G",OHIO,30,29.8,134,4.5,79,2.6,6.0,1.70,96
96,"Nic Wise, G",ARIZ,26,29.0,116,4.5,53,2.0,6.1,2.19,97
